,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Hexagon B,EU,326370.0,34.02,0.12
1,Nokia Oyj,EU,202440.0,27.25,0.13
2,Alibaba ADR,EU,176240.0,13.67,0.98
3,Deutsche Telekom AG,EU,110140.0,5.57,0.77
4,Dassault Systemes,EU,57050.0,54.23,0.21
5,Infineon,EU,43150.0,14.51,0.35
6,STMicroelectronics,EU,37500.0,9.64,0.24
7,STMicroelectronics,EU,37500.0,9.64,0.24
8,Orange,EU,28540.0,12.61,0.7
9,Amadeus,EU,26760.0,26.37,0.96
