,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Vakrangee,India,27970.0,975.93,0.05
1,Infibeam Avenues,India,95320.0,63.77,0.05
2,Magellanic Cloud,India,72380.0,88.05,0.15
3,HFCL,India,161570.0,54.57,0.2
4,Alankit Ltd,India,5380.0,21.7,0.2
5,Innovana Thinklabs,India,12290.0,39.35,0.25
6,Dev Information Tech,India,3180.0,37.34,0.25
7,Accel,India,1420.0,81.79,0.3
8,Hind Rectifiers Ltd,India,9790.0,198.26,0.4
9,Compucom Software Ltd,India,2330.0,30.92,0.4
