,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Wipro ADR,USA,33750.0,25.46,0.01
1,Prosus ADR,USA,77460.0,19.87,0.01
2,AAC Technologies Holdings Inc,USA,2920.0,33.08,0.01
3,Auto Trader ADR,USA,8400.0,28.68,0.02
4,Quadient ADR,USA,721.91,32.46,0.03
5,Digital China ADR,USA,541.18,21.29,0.03
6,XL Axiata ADR,USA,1960.0,24.06,0.04
7,TravelSky ADR,USA,3250.0,16.72,0.06
8,Naspers ADR,USA,31210.0,7.26,0.06
9,Repositrak,USA,271.87,50.97,0.07
