,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Microsoft,Mexico,52190000.0,36.97,3.0
1,Apple,Mexico,48240000.0,28.31,0.96
2,NVIDIA,Mexico,33210000.0,65.68,0.16
3,Meta Platforms,Mexico,21120000.0,31.84,2.0
4,Taiwan Semiconductor,Mexico,9800000.0,21.4,1.54
5,Visa A,Mexico,9760000.0,32.69,2.08
6,Mastercard,Mexico,7560000.0,39.95,2.64
7,ASML Holding,Mexico,6300000.0,43.42,6.1
8,Tencent ADR,Mexico,5910000.0,12.82,0.27
9,Oracle,Mexico,5270000.0,30.05,1.6
