,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Nippon Telegraph & Telephone Corp,Japan,15190000.0,12.92,5.0
1,Rakus Co Ltd,Japan,396320.0,127.57,2.2
2,Sakura Internet,Japan,200330.0,371.52,3.5
3,Infomart,Japan,90490.0,305.61,0.97
4,Port,Japan,29770.0,20.47,2.0
5,Drecom,Japan,27380.0,303.81,5.0
6,Kamakura Shinsho Ltd,Japan,22420.0,52.57,4.0
7,LIFULL,Japan,21250.0,326.32,4.26
8,Medpeer,Japan,16960.0,26.85,4.5
9,Fast Accounting,Japan,14360.0,82.92,1.55
