,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Dassault Systemes,France,57050.0,54.23,0.21
1,Capgemini,France,38550.0,23.19,3.4
2,STMicroelectronics,France,37500.0,9.64,0.24
3,Orange,France,28540.0,12.61,0.7
4,Nokia Oyj,France,18140.0,27.25,0.13
5,Itissalat Al-Maghrib,France,8250.0,16.94,2.19
6,Alten,France,4840.0,11.1,1.5
7,Sopra Steria,France,4640.0,18.74,4.65
8,Eutelsat,France,1820.0,3.04,0.93
9,Exclusive Networks,France,1570.0,37.02,0.2
