,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,STC,Saudi Arabia,209100.0,15.27,1.6
1,Al ELM Information Security,Saudi Arabia,81890.0,49.16,8.0
2,Arabian Internet and Communications,Saudi Arabia,43520.0,32.5,5.0
3,Etihad Etisalat,Saudi Arabia,42200.0,20.29,1.15
4,ZAIN KSA,Saudi Arabia,12650.0,10.43,0.5
5,Al Moammar Info,Saudi Arabia,4430.0,53.53,3.9
6,Keir International,Saudi Arabia,588.0,29.64,0.74
7,Sure Global Tech SJSC,Saudi Arabia,562.48,26.89,2.0
8,Knowledge Net,Saudi Arabia,105.0,40.27,0.5
