,Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
0,Constellation Software,Canada,79470.0,111.21,4.0
1,BCE Inc,Canada,46310.0,22.28,3.99
2,TELUS,Canada,35900.0,42.16,1.5
3,Rogers Communications,Canada,32800.0,38.11,2.0
4,Quebecor,Canada,6870.0,10.82,1.3
5,Enghouse Systems,Canada,1940.0,26.72,0.88
6,Evertz Technologies,Canada,1100.0,15.97,0.78
7,Softchoice,Canada,1030.0,15.04,0.44
8,Dye & Durham,Canada,889.3,-4.23,0.07
9,Computer Modelling Group,Canada,828.6,34.17,0.2
