Company_Name,Country,Market_Cap,P/E_Ratio,Dividend
Arabian Internet and Communications,Saudi Arabia,43520,32.5,5
Etihad Etisalat,Saudi Arabia,42200,20.29,1.15
ZAIN KSA,Saudi Arabia,12650,10.43,0.5
Al Moammar Info,Saudi Arabia,4430,53.53,3.9
Keir International,Saudi Arabia,588,29.64,0.74
Sure Global Tech SJSC,Saudi Arabia,562.48,26.89,2
Knowledge Net,Saudi Arabia,105,40.27,0.5
Neosem,South Korea,529970,27.07,30
Fine Semitech,South Korea,450720,10.82,50
Solid,South Korea,383380,10.4,50
Huyndai Movex,South Korea,374840,40.48,30
Galaxia Moneytree,South Korea,368760,451.16,45
HB Solution,South Korea,262960,9.04,30
Rsupport,South Korea,253670,61.14,20
New Power Plasma,South Korea,210830,17.35,50
GO Element,South Korea,155290,22.06,50
Auk Corp,South Korea,133970,7.56,50
Turkcell,Turkey,149260,8.51,1.03
Turk Telekom,Turkey,116060,20.84,1.42
Ingram Micro Bilisim,Turkey,18670,191.07,5.34
Atp Ticari Bilgisayar Ağı ve Elektrik,Turkey,13420,60.53,0.3
Logo Yazilim,Turkey,11300,20.85,1.5
Ard Grup Bilisim,Turkey,10860,8.57,0.02
Indeks,Turkey,8500,10.91,0.85
Forte Bilgi Iletisim Teknolojileri,Turkey,6220,27.88,0.53
Arena Bilgisayar,Turkey,5300,22.62,0.1
Papilon Guvenlik,Turkey,5210,27.71,0.06
Baltic Classifieds Group,United Kingdom,1190,46.96,0.03
Panasonic,United Kingdom,3310000,6.54,0.05
11 AG,United Kingdom,3010,9.29,0.05
Airtel Africa,United Kingdom,3500,36.14,0.06
Hexagon B,United Kingdom,326370,34.02,0.12
Nokia Oyj,United Kingdom,18140,27.25,0.13
Koninklijke KPN,United Kingdom,13400,16.92,0.14
Acer DRC,United Kingdom,4350,45.49,0.17
Telecom Egypt DRC,United Kingdom,2270,62.51,0.17
Telefonica Deutschland AG,United Kingdom,7080,28.25,0.18
Wipro ADR,USA,33750,25.46,0.01
Prosus ADR,USA,77460,19.87,0.01
AAC Technologies Holdings Inc,USA,2920,33.08,0.01
Auto Trader ADR,USA,8400,28.68,0.02
Quadient ADR,USA,721.91,32.46,0.03
Digital China ADR,USA,541.18,21.29,0.03
XL Axiata ADR,USA,1960,24.06,0.04
TravelSky ADR,USA,3250,16.72,0.06
Naspers ADR,USA,31210,7.26,0.06
Repositrak,USA,271.87,50.97,0.07
Hexagon B,EU,326370,34.02,0.12
Nokia Oyj,EU,202440,27.25,0.13
Alibaba ADR,EU,176240,13.67,0.98
Deutsche Telekom AG,EU,110140,5.57,0.77
Dassault Systemes,EU,57050,54.23,0.21
Infineon,EU,43150,14.51,0.35
STMicroelectronics,EU,37500,9.64,0.24
STMicroelectronics,EU,37500,9.64,0.24
Orange,EU,28540,12.61,0.7
Amadeus,EU,26760,26.37,0.96
